LOG TYPE,CLIENT,MESSAGE,TIME
"notice","35.196.238.224:0] Cron reschedule event error for hook: action_scheduler_run_queue, Error code: invalid_schedule, Error message: Event schedule does not exist., Data: {""schedule"":""every_minute"",""args"":[""WP Cron""","Cron reschedule event error for hook: action_scheduler_run_queue, Error code: invalid_schedule, Error message: Event schedule does not exist., Data: {""schedule"":""every_minute"",""args"":[""WP Cron""],""interval"":60}","Fri Jun 23 2023 07:54:15 GMT+0800 (China Standard Time)"
"notice","180.195.240.245:0","auditor:event=deactivated_plugin {""plugin"":""wp-rocket/wp-rocket.php"",""network_activation"":false,""blog_id"":1,""event"":""deactivated_plugin"",""current_user_id"":15,""remote_addr"":""180.195.240.245""}, referer: https://westcoastdentl.wpengine.com/wp-admin/plugins.php","Fri Jun 23 2023 07:53:07 GMT+0800 (China Standard Time)"
"notice","180.195.240.245:0","wpeseamlessloginplugin:event=info_user_logged_in user_email=analytics@powerdigitalmarketinginc.com install_name=westcoastdentl ""User analytics@powerdigitalmarketinginc.com already logged in.""","Fri Jun 23 2023 07:51:48 GMT+0800 (China Standard Time)"
"notice","180.195.240.245:0","wpeseamlessloginplugin:event=error_on_nonce_meta_data_validation user_email=analytics@powerdigitalmarketinginc.com install_name=westcoastdentl ""Nonce 0d1fbdd85e2c8c5e62c8efef5df1d297554e4a3bed11081a6fe422742db7960f has expired by 13 seconds for User (analytics@powerdigitalmarketinginc.com).""","Fri Jun 23 2023 07:51:13 GMT+0800 (China Standard Time)"
"notice","180.195.240.245:0","auditor:event=wp_login {""user_id"":15,""blog_id"":1,""event"":""wp_login"",""current_user_id"":15,""remote_addr"":""180.195.240.245""}","Fri Jun 23 2023 07:51:13 GMT+0800 (China Standard Time)"
"notice","180.195.240.245:0","wpeseamlessloginplugin:event=login_user user_email=analytics@powerdigitalmarketinginc.com install_name=westcoastdentl ""email: { analytics@powerdigitalmarketinginc.com }, roles: { administrator }, install name: { westcoastdentl }, response time(ms): { 87 }""","Fri Jun 23 2023 07:51:13 GMT+0800 (China Standard Time)"
"notice","180.195.240.245:0","wpeseamlessloginplugin:event=info_user_not_logged_in user_email=analytics@powerdigitalmarketinginc.com install_name=westcoastdentl ""User analytics@powerdigitalmarketinginc.com not logged in. Beginning flow.""","Fri Jun 23 2023 07:51:05 GMT+0800 (China Standard Time)"
"notice","180.195.240.245:0","wpeseamlessloginplugin:event=info_user_not_logged_in user_email=analytics@powerdigitalmarketinginc.com install_name=westcoastdentl ""User analytics@powerdigitalmarketinginc.com not logged in. Beginning flow.""","Fri Jun 23 2023 07:50:13 GMT+0800 (China Standard Time)"
"notice","35.196.238.224:0","auditor:scan=fingerprint {""blog_id"":1,""kind"":""theme"",""name"":""West Coast Dental"",""slug"":""astra-child"",""ver"":""1.0.0"",""sig"":""v1:nohash""}","Fri Jun 23 2023 07:44:51 GMT+0800 (China Standard Time)"
"notice","35.196.238.224:0","auditor:scan=fingerprint {""blog_id"":1,""kind"":""theme"",""name"":""Astra"",""slug"":""astra"",""ver"":""3.4.2"",""sig"":""v1:nohash""}","Fri Jun 23 2023 07:44:51 GMT+0800 (China Standard Time)"
"notice","35.196.238.224:0","auditor:scan=fingerprint {""blog_id"":1,""kind"":""theme"",""name"":""BusinessFinder+ Child Theme"",""slug"":""businessfinder2-child"",""ver"":""1.0"",""sig"":""v1:nohash""}","Fri Jun 23 2023 07:44:51 GMT+0800 (China Standard Time)"
